iter	MultiClass
0	5.924147165
1	5.741155283
2	5.673660834
3	5.610497259
4	5.536213302
5	5.468902246
6	5.41923817
7	5.36717009
8	5.32041244
9	5.282701029
10	5.237002532
11	5.181810753
12	5.134427178
13	5.089450737
14	5.046142193
15	5.012270721
16	4.982056645
17	4.950334499
18	4.921918296
19	4.891660494
20	4.862643285
21	4.835744022
22	4.811525002
23	4.787005896
24	4.759987905
25	4.737802277
26	4.713391454
27	4.688018876
28	4.664268481
29	4.635145607
30	4.617600735
31	4.593541277
32	4.577104667
33	4.558849997
34	4.538653101
35	4.519522427
36	4.499423957
37	4.476830123
38	4.462456295
39	4.443754267
40	4.426007885
41	4.411224793
42	4.394128158
43	4.376348008
44	4.359685416
45	4.342651988
46	4.325951909
47	4.310117462
48	4.290086412
49	4.276309441
50	4.260627065
51	4.245104534
52	4.224816432
53	4.206584621
54	4.186532046
55	4.170595387
56	4.155634555
57	4.144849341
58	4.126616842
59	4.108611555
60	4.093532283
61	4.081259274
62	4.06846392
63	4.054315066
64	4.041915401
65	4.032745476
66	4.017758728
67	4.004919325
68	3.992614948
69	3.980666406
70	3.967705765
71	3.953222072
72	3.936382276
73	3.925218451
74	3.90974402
75	3.902452005
76	3.889649033
77	3.879952644
78	3.866741035
79	3.854323569
80	3.840893992
81	3.825624506
82	3.809360687
83	3.795834293
84	3.779301185
85	3.768843106
86	3.754553792
87	3.740161965
88	3.728458035
89	3.716116306
90	3.706920762
91	3.693149894
