iter	Passed	Remaining
0	3099	3096755
1	3441	1717385
2	4886	1624017
3	7102	1768417
4	8672	1725823
5	10425	1727205
6	12021	1705368
7	13444	1667102
8	15310	1685842
9	17531	1735626
10	19779	1778400
11	21128	1739559
12	22597	1715658
13	24134	1699740
14	25855	1697854
15	27691	1703037
16	29447	1702760
17	31255	1705174
18	32922	1699833
19	34466	1688856
20	35918	1674496
21	37398	1662547
22	39165	1663683
23	40786	1658655
24	42285	1649135
25	43799	1640790
26	45221	1629662
27	46797	1624558
28	48583	1626695
29	50180	1622492
30	51456	1608418
31	53120	1606908
32	54598	1599914
33	56318	1600121
34	57967	1598238
35	59551	1594659
36	61350	1596778
37	62872	1591672
38	64335	1585280
39	65920	1582081
40	67707	1583697
41	69126	1576734
42	70667	1572771
43	72199	1568699
44	73712	1564345
45	75998	1576137
46	78000	1581583
47	79678	1580291
48	81136	1574709
49	82490	1567312
50	84178	1566375
51	86461	1576265
52	88266	1577131
53	89820	1573526
54	91298	1568676
55	92901	1566057
56	94442	1562448
57	95873	1557111
58	97957	1562345
59	99633	1560932
60	101067	1555782
61	102548	1551460
62	104302	1551289
63	106258	1554036
64	107972	1553139
65	108748	1538956
66	111564	1553574
67	113886	1560915
68	115709	1561234
69	117557	1561832
70	119372	1561930
71	120871	1557900
72	122302	1553073
73	123792	1549084
74	125534	1548253
75	126801	1541637
76	128421	1539392
77	129842	1534799
78	131399	1531885
79	133044	1530016
80	134528	1526312
81	136004	1522582
82	137586	1520080
83	139250	1518492
84	140852	1516239
85	142773	1517382
86	144679	1518303
87	146239	1515577
88	147927	1514180
89	149593	1512560
90	151269	1511028
91	152897	1509032
